date,open,high,low,close,adj_close,volume
04-02-2021,195.8000031,195.8000031,195.9900055,186.1900024,187.0700073,3631500
05-02-2021,195.3099976,195.3099976,197.25,190.25,197,2869700
08-02-2021,200.4299927,200.4299927,201.9600067,191.5,199.9299927,3488100
09-02-2021,199.8800049,199.8800049,209.2200012,196.1600037,199.2030029,4725800
10-02-2021,211.6600037,211.6600037,214.7160034,202.0970001,205.4799957,5257200
11-02-2021,216.8399963,216.8399963,219.9400024,207,213.5,3595200
12-02-2021,212.6799927,212.6799927,216.9400024,209,214.4579926,3041700
16-02-2021,209.8600006,209.8600006,218.7799988,209.0899963,216.2400055,3487900
17-02-2021,201.9600067,201.9600067,208.7649994,196.0200043,207.0500031,4090600
18-02-2021,198.0399933,198.0399933,200.3600006,192.1699982,199.0099945,2791400
19-02-2021,201.0700073,201.0700073,205.5500031,200.1799927,203.9499969,2605800
22-02-2021,195.3399963,195.3399963,205,193.5,200.6999969,3674200
23-02-2021,187.5899963,187.5899963,191.6699982,175,189,5902400
24-02-2021,200.1999969,200.1999969,208.1450043,189,190.9799957,5983500
25-02-2021,182.0599976,182.0599976,199.8000031,180,197.4100037,11568500
26-02-2021,206.3500061,206.3500061,214.1000061,185.75,194.1799927,19368600
01-03-2021,196.4199982,196.4199982,199.6900024,192.6199951,195.8200073,15798500
02-03-2021,189.8999939,189.8999939,200,188.5,195.6300049,9144900
03-03-2021,180.3999939,180.3999939,188.4799957,178.8000031,186.9700012,10592900
04-03-2021,180.2299957,180.2299957,183.8999939,170.8699951,178.6399994,9993700
05-03-2021,179.8099976,179.8099976,183.5,161.8999939,182.5200043,8788500
08-03-2021,180.8099976,180.8099976,186.3999939,177.0299988,179.9920044,4988500
09-03-2021,183.1100006,183.1100006,189.4600067,180.7200012,184.9900055,6079900
10-03-2021,183.7899933,183.7899933,191,181.5500031,184.5700073,6145600
11-03-2021,197.8699951,197.8699951,201,188.5,189.8999939,6031200
12-03-2021,206.7400055,206.7400055,208.6999969,192.1999969,196.2700043,5556500
15-03-2021,209.9900055,209.9900055,213.7400055,203.8099976,209.5379944,4329400
16-03-2021,200.0099945,200.0099945,215.4900055,198.1799927,209.1100006,4605600
17-03-2021,201.3600006,201.3600006,203.4600067,194.4400024,195.6300049,3781900
18-03-2021,191.4499969,191.4499969,199.8999939,190.6799927,196.8000031,3711500
19-03-2021,194.3899994,194.3899994,196.4900055,187.8099976,193.0099945,4444600
22-03-2021,195,195,203.3000031,194.7100067,196.8500061,3740400
23-03-2021,187.1399994,187.1399994,196.75,185.7400055,195.5,3460600
24-03-2021,178.8500061,178.8500061,189.7799988,178.5099945,189,3756100
25-03-2021,176.1600037,176.1600037,179.5399933,170.5,173.1000061,5264100
26-03-2021,174.3999939,174.3999939,181,168,178.4160004,3562900
29-03-2021,182.5,182.5,185.4600067,173.5,175.3600006,4508800
